"","x"
"1",34
"2",332
"3",449
"4",453
"5",545
"6",548
"7",581
"8",590
"9",608
"10",1096
"11",1253
"12",1414
"13",1460
"14",1861
"15",2127
"16",2130
"17",2300
"18",3307
"19",3325
"20",3423
"21",3495
"22",3666
"23",3720
"24",3902
"25",3924
"26",4250
"27",4253
"28",4254
"29",4255
"30",4256
"31",4257
"32",4258
"33",4259
"34",4261
"35",4262
"36",4263
"37",4264
"38",4265
"39",4266
"40",4267
"41",4268
"42",4269
"43",4270
"44",4271
"45",4273
"46",4276
"47",4277
"48",4278
"49",4279
"50",4280
"51",4281
"52",4287
"53",4288
"54",4291
"55",4292
"56",4294
"57",4295
"58",4296
"59",4297
"60",4298
"61",4302
"62",4309
"63",4311
"64",4312
"65",4313
"66",4314
"67",4315
"68",4316
"69",4317
"70",4318
"71",4321
"72",4325
"73",4326
"74",4331
"75",4332
"76",4335
"77",4346
"78",4348
"79",4349
"80",4350
"81",4351
"82",4352
"83",4353
"84",4354
"85",4355
"86",4356
"87",4357
"88",4361
"89",4362
"90",4671
"91",4897
"92",5519
"93",5553
"94",5680
"95",5864
"96",5866
"97",5867
"98",5899
"99",5967
"100",6186
"101",7249
"102",7370
"103",7491
"104",7844
"105",8038
"106",8366
"107",8727
"108",9340
"109",9712
"110",9780
"111",9807
"112",10042
"113",10045
"114",10146
"115",10174
"116",10332
"117",10336
"118",10341
"119",10548
"120",10592
"121",10794
"122",10828
"123",11002
"124",11003
"125",11183
"126",11236
"127",11392
"128",11407
"129",11532
"130",11539
"131",11649
"132",11922
"133",11923
"134",11924
"135",11925
"136",11926
"137",11927
"138",11928
"139",11929
"140",11930
"141",11931
"142",11932
"143",11933
"144",11934
"145",11935
"146",11936
"147",11937
"148",11943
"149",11987
"150",11997
"151",12091
"152",12106
"153",12115
"154",12167
"155",12205
"156",12373
"157",12403
"158",12711
"159",12740
"160",13121
"161",13166
"162",13394
"163",13448
"164",13501
"165",13513
"166",13514
"167",14078
"168",14079
"169",14080
"170",14081
"171",14082
"172",14083
"173",14084
"174",14160
"175",14167
"176",14429
"177",14466
"178",14467
"179",14630
"180",14812
"181",14927
"182",15266
"183",15275
"184",15339
"185",15581
"186",15900
"187",15901
"188",15902
"189",15903
"190",15904
"191",15905
"192",15906
"193",15992
"194",15993
"195",16003
"196",16004
"197",16026
"198",16027
"199",16028
"200",16030
"201",16305
"202",16317
"203",16911
